field,value
mode,random-train
webcam.frames,4120
webcam.detected_frames,0
webcam.detection_events,0
webcam.measured_fps,30.07074333570074
op598.pulse_events,60
coincidence.detected_windows,0
coincidence.matched_detected,0
coincidence.mean_offset_ms,-1.2149516071076505
coincidence.abs_mean_offset_ms,8.93216726690298
visuals.representative_frames,60
visuals.average_frame_written,True
visuals.heatmap_written,True
visuals.pulse_strip_written,True
production.campaign_id,new-camera-mount-20260526-phase4
production.mount_context,new-camera-mount
production.run_intent,production
production.dark_control_ref,random-train_20260526_144036
production.run_index,1
production.config_fingerprint,3b6c073f89a99177
op598.baseline_adc,2651.5714285714284
op598.command,sensor random_train_profile 60 1800 2200 40 1023 40 120 1000
op598.fall_time_ms,
op598.metadata.count,60
op598.metadata.duration_ms,40
op598.metadata.duty,1023
op598.metadata.host_capture_finished_perf_counter_s,170224.440166918
op598.metadata.host_capture_finished_wall_time_s,1779824731.456800222
op598.metadata.host_command_sent_perf_counter_s,170106.187138281
op598.metadata.host_command_sent_wall_time_s,1779824613.203772783
op598.metadata.max_period_ms,2200
op598.metadata.min_period_ms,1800
op598.metadata.post_ms,120
op598.metadata.pre_ms,40
op598.metadata.sample_us,1000
op598.metadata.samples,17534
op598.peak_adc,4095.0
op598.peak_time_ms,46.726
op598.pulse_count,60
op598.pulse_width_ms,
op598.rise_time_ms,
op598.sample_count,17534
op598.sample_interval_avg_ms,6.741949181543376
op598.sample_interval_max_ms,16.157999999999447
op598.sample_interval_min_ms,3.6350000000002183
op598.threshold_adc,3373.285714285714
op598.threshold_crossing_ms,
