index,t_us,t_ms,adc,led,phase,pulse_index
0,111,0.111,0,0,pre,-1
1,3920,3.92,0,0,pre,-1
2,14656,14.656,0,0,pre,-1
3,18304,18.304,0,0,pre,-1
4,21950,21.95,0,0,pre,-1
5,34652,34.652,0,0,pre,-1
6,38310,38.31,0,0,pre,-1
7,41963,41.963,0,1,pulse,0
8,45768,45.768,0,1,pulse,0
9,54653,54.653,0,1,pulse,0
10,58308,58.308,0,1,pulse,0
11,64652,64.652,0,1,pulse,0
12,74656,74.656,0,1,pulse,0
13,78322,78.322,0,1,pulse,0
14,81987,81.987,0,0,gap,0
15,94661,94.661,0,0,gap,0
16,98398,98.398,0,0,gap,0
17,102119,102.119,0,0,gap,0
18,105849,105.849,0,0,gap,0
19,114657,114.657,0,0,gap,0
20,118393,118.393,0,0,gap,0
21,124656,124.656,0,0,gap,0
22,134660,134.66,0,0,gap,0
23,138413,138.413,0,0,gap,0
24,142165,142.165,0,0,gap,0
25,154656,154.656,0,0,gap,0
26,158423,158.423,0,0,gap,0
27,162190,162.19,0,0,gap,0
28,165978,165.978,0,0,gap,0
29,174661,174.661,0,0,gap,0
30,178453,178.453,0,0,gap,0
31,184656,184.656,0,0,gap,0
32,194660,194.66,0,0,gap,0
33,198462,198.462,0,0,gap,0
34,202263,202.263,0,0,gap,0
35,214656,214.656,0,0,gap,0
36,218467,218.467,0,0,gap,0
37,222274,222.274,0,0,gap,0
38,226090,226.09,0,0,gap,0
39,234656,234.656,0,0,gap,0
40,238489,238.489,0,0,gap,0
41,244656,244.656,0,0,gap,0
42,254660,254.66,0,0,gap,0
43,258494,258.494,0,0,gap,0
44,262327,262.327,0,0,gap,0
45,274660,274.66,0,0,gap,0
46,278504,278.504,0,0,gap,0
47,282347,282.347,0,0,gap,0
48,286199,286.199,0,0,gap,0
49,294656,294.656,0,0,gap,0
50,298513,298.513,0,0,gap,0
51,304656,304.656,0,0,gap,0
52,314660,314.66,0,0,gap,0
53,318530,318.53,0,0,gap,0
54,324038,324.038,0,0,gap,0
55,327726,327.726,0,0,gap,0
56,334661,334.661,0,0,gap,0
57,344656,344.656,0,0,gap,0
58,348345,348.345,0,0,gap,0
59,352023,352.023,0,0,gap,0
60,364660,364.66,0,0,gap,0
61,368358,368.358,0,0,gap,0
62,372059,372.059,0,0,gap,0
63,375759,375.759,0,0,gap,0
64,384661,384.661,0,0,gap,0
65,388372,388.372,0,0,gap,0
66,394660,394.66,0,0,gap,0
67,404656,404.656,0,0,gap,0
68,408395,408.395,0,0,gap,0
69,412122,412.122,0,0,gap,0
70,424660,424.66,0,0,gap,0
71,428407,428.407,0,0,gap,0
72,432161,432.161,0,0,gap,0
73,435909,435.909,0,0,gap,0
74,444661,444.661,0,0,gap,0
75,448417,448.417,0,0,gap,0
76,454660,454.66,0,0,gap,0
77,464660,464.66,0,0,gap,0
78,468434,468.434,0,0,gap,0
79,472200,472.2,0,0,gap,0
80,484660,484.66,0,0,gap,0
81,488437,488.437,0,0,gap,0
82,492218,492.218,0,0,gap,0
83,496005,496.005,0,0,gap,0
84,504660,504.66,0,0,gap,0
85,508451,508.451,0,0,gap,0
86,514660,514.66,0,0,gap,0
87,524656,524.656,0,0,gap,0
88,528473,528.473,0,0,gap,0
89,532270,532.27,0,0,gap,0
90,544660,544.66,0,0,gap,0
91,548472,548.472,0,0,gap,0
92,552287,552.287,0,0,gap,0
93,556111,556.111,0,0,gap,0
94,564660,564.66,0,0,gap,0
95,568493,568.493,0,0,gap,0
96,574660,574.66,0,0,gap,0
97,584656,584.656,0,0,gap,0
98,588519,588.519,0,0,gap,0
99,592377,592.377,0,0,gap,0
100,604660,604.66,0,0,gap,0
101,608526,608.526,0,0,gap,0
102,612399,612.399,0,0,gap,0
103,616270,616.27,0,0,gap,0
104,624661,624.661,0,0,gap,0
105,628539,628.539,0,0,gap,0
106,634660,634.66,0,0,gap,0
107,644656,644.656,0,0,gap,0
108,648553,648.553,0,0,gap,0
109,652441,652.441,0,0,gap,0
110,664661,664.661,0,0,gap,0
111,668563,668.563,0,0,gap,0
112,672468,672.468,0,0,gap,0
113,676369,676.369,0,0,gap,0
114,684661,684.661,0,0,gap,0
115,688576,688.576,0,0,gap,0
116,694661,694.661,0,0,gap,0
117,704657,704.657,0,0,gap,0
118,708586,708.586,0,0,gap,0
119,712506,712.506,0,0,gap,0
120,724661,724.661,0,0,gap,0
121,728592,728.592,0,0,gap,0
122,732526,732.526,0,0,gap,0
123,738116,738.116,0,0,gap,0
124,744660,744.66,0,0,gap,0
125,748339,748.339,0,0,gap,0
126,754661,754.661,0,0,gap,0
127,764657,764.657,0,0,gap,0
128,768357,768.357,0,0,gap,0
129,774656,774.656,0,0,gap,0
130,784648,784.648,0,0,gap,0
131,788350,788.35,0,0,gap,0
132,792056,792.056,0,0,gap,0
133,804656,804.656,0,0,gap,0
134,808377,808.377,0,0,gap,0
135,812089,812.089,0,0,gap,0
136,815828,815.828,0,0,gap,0
137,824657,824.657,0,0,gap,0
138,828406,828.406,0,0,gap,0
139,834657,834.657,0,0,gap,0
140,844660,844.66,0,0,gap,0
141,848420,848.42,0,0,gap,0
142,852174,852.174,0,0,gap,0
143,864657,864.657,0,0,gap,0
144,868430,868.43,0,0,gap,0
145,872195,872.195,0,0,gap,0
146,875967,875.967,0,0,gap,0
147,884657,884.657,0,0,gap,0
148,888440,888.44,0,0,gap,0
149,894657,894.657,0,0,gap,0
150,904661,904.661,0,0,gap,0
151,908454,908.454,0,0,gap,0
152,912251,912.251,0,0,gap,0
153,924657,924.657,0,0,gap,0
154,928461,928.461,0,0,gap,0
155,932256,932.256,0,0,gap,0
156,936063,936.063,0,0,gap,0
157,944661,944.661,0,0,gap,0
158,948478,948.478,0,0,gap,0
159,954657,954.657,0,0,gap,0
160,964661,964.661,0,0,gap,0
161,968485,968.485,0,0,gap,0
162,972308,972.308,0,0,gap,0
163,984657,984.657,0,0,gap,0
164,988504,988.504,0,0,gap,0
165,992342,992.342,0,0,gap,0
166,1004660,1004.66,0,0,gap,0
167,1008528,1008.528,0,0,gap,0
168,1012400,1012.4,0,0,gap,0
169,1016267,1016.267,0,0,gap,0
170,1024661,1024.661,0,0,gap,0
171,1028538,1028.538,0,0,gap,0
172,1034661,1034.661,0,0,gap,0
173,1044661,1044.661,0,0,gap,0
174,1048552,1048.552,0,0,gap,0
175,1054644,1054.644,0,0,gap,0
176,1064644,1064.644,0,0,gap,0
177,1068541,1068.541,0,0,gap,0
178,1072437,1072.437,0,0,gap,0
179,1084656,1084.656,0,0,gap,0
180,1088567,1088.567,0,0,gap,0
181,1092473,1092.473,0,0,gap,0
182,1096383,1096.383,0,0,gap,0
183,1104657,1104.657,0,0,gap,0
184,1108588,1108.588,0,0,gap,0
185,1114657,1114.657,0,0,gap,0
186,1124661,1124.661,0,0,gap,0
187,1128590,1128.59,0,0,gap,0
188,1132523,1132.523,0,0,gap,0
189,1144661,1144.661,0,0,gap,0
190,1148605,1148.605,0,0,gap,0
191,1152544,1152.544,0,0,gap,0
192,1158161,1158.161,0,0,gap,0
193,1164657,1164.657,0,0,gap,0
194,1174660,1174.66,0,0,gap,0
195,1178350,1178.35,0,0,gap,0
196,1182042,1182.042,0,0,gap,0
197,1194657,1194.657,0,0,gap,0
198,1198363,1198.363,0,0,gap,0
199,1202065,1202.065,0,0,gap,0
200,1214660,1214.66,0,0,gap,0
201,1218372,1218.372,0,0,gap,0
202,1222088,1222.088,0,0,gap,0
