field,value
mode,random-train
webcam.frames,4093
webcam.detected_frames,75
webcam.detection_events,60
webcam.measured_fps,29.87364837373936
op598.pulse_events,60
coincidence.detected_windows,60
coincidence.matched_detected,60
coincidence.mean_offset_ms,49.27019970540035
coincidence.abs_mean_offset_ms,49.27019970540035
visuals.representative_frames,60
visuals.average_frame_written,True
visuals.heatmap_written,True
visuals.pulse_strip_written,True
production.campaign_id,new-camera-mount-20260526-camera0
production.mount_context,new-camera-mount
production.run_intent,production
production.dark_control_ref,random-train_20260526_155001
production.run_index,9
production.config_fingerprint,d0f332b9fe9cf8c0
production.batch_started_at,2026-05-26T15:52:31
op598.baseline_adc,636.5714285714286
op598.command,sensor random_train_profile 60 1800 2200 40 1023 40 120 1000
op598.fall_time_ms,
op598.metadata.count,60
op598.metadata.duration_ms,40
op598.metadata.duty,1023
op598.metadata.host_capture_finished_perf_counter_s,175523.925248450
op598.metadata.host_capture_finished_wall_time_s,1779830030.941886187
op598.metadata.host_command_sent_perf_counter_s,175404.243264796
op598.metadata.host_command_sent_wall_time_s,1779829911.259899616
op598.metadata.max_period_ms,2200
op598.metadata.min_period_ms,1800
op598.metadata.post_ms,120
op598.metadata.pre_ms,40
op598.metadata.sample_us,1000
op598.metadata.samples,17878
op598.peak_adc,4095.0
op598.peak_time_ms,48.291
op598.pulse_count,60
op598.pulse_width_ms,
op598.rise_time_ms,
op598.sample_count,17878
op598.sample_interval_avg_ms,6.691735749846171
op598.sample_interval_max_ms,16.48399999999674
op598.sample_interval_min_ms,3.6750000000000007
op598.threshold_adc,2365.785714285714
op598.threshold_crossing_ms,
